artists,num_likes
Siren,84839
Crvvcks,2143
Culture Code,198275
Arch,509
The Wakefield,135
Bleachers,96312
SubLion,635
HAIM,819166
Jack Johnson,6121888
Will Sparks,688291
Grafter,1706
Wax,118844
Second Hand Audio,3088
Wekeed,21192
i am donald,1075625
Mutrix,52247
Kastle,64340
Miro,438
DJSuicidalTendencies,2331
Raif,3676
Rogue,75271
The Mowgli's,83765
Regulators,30741
Drop the Bassline,51690
Watsky,263188
SJUR,8970
Speaker of the House,25915
Social Status,3823
HOODIE ALLEN,391153
Boeboe,16535
Scour Records,11744
Mourning Mountains,1601
Sound Remedy,258547
Third Culture,2055
PatrickReza,80124
Of Monsters and Men,2173404
Cage The Elephant,1564406
RoughMath,5069
Throttle,86900
OMG,19715
Wick-it the Instigator,54790
Droptek,48677
NIGHTkilla,3084
ak9,31112
Michael Franti and Spearhead,394530
Nexus,4451
Mary Aguilar,267
Young Hummus,296
Nahko and Medicine for the People,178444
WHISKEY PETE,21592
PASSiO,712
Sean Dee,11884
Alvino,11555
Synchronice,102929
Klaypex,120230
The Kings Dead,30748
Holtoug,9725
Dead Robot,8330
INF1N1TE,22053
Illenium,89212
Soia,2799
MAKJ,1032826
Kygo,1760932
The Lumineers,2166474
twenty one pilots,1223929
The Knocks,80455
The Coopers,3334
Kicks n Licks,30317
Skit,4915
The Captain,6399
STACEY,1530
Passion Pit,1347276
Matisyahu,1240180
Jordan Mencel,23068
Shawn Wasabi,212726
MitiS,173535
Switchblade Recordings,5633
Protohype,151037
Insan3Lik3,39297
Steve James,24779
