artists,num_likes
The Bowery Presents,40814
KREAYSHAWN,572069
Fever Ray,387035
Shura,93371
MIA,1266136
Future Islands,168771
Carly Rae Jepsen,13056384
NAO,28186
Fiona Apple,760801
M83,1344783
Mr Twin Sister,11334
Youth Lagoon,150986
Strfkr,172312
Four Tet (Official),324001
Photay,5315
Deerhunter,172329
DJ Rashad,35694
Jamie Woon,211547
Junior Boys,69218
Jon Hopkins,184250
East India Youth,15613
Cathedrals,13824
Lykke Li,1504731
Oneohtrix Point Never,79836
Toro y Moi,298386
Jai Paul,29285
Josef Salvat,54217
Massive Attack,2858763
iamamiwhoami,78054
PC Music,22626
PLANNINGTOROCK,29410
Electric Guest,94638
Rough Trade Records,132253
Tamaryn,29137
Ms. Lauryn Hill,1495906
Domino Recording Company,110480
Generationals,41908
Floating Points,2392
Jlin Narlei,4382
Young Ejecta,4443
Glasser,26664
Jessie Ware,341337
Kodaline,671282
Laurel Halo,32672
Azealia Banks,787785
Avey Tare,25470
Beggars Group,2293
Robyn,637135
BOOTS,20907
Tei Shi,32346
The Weeknd,5681021
Lorde,6686018
Arctic Monkeys,6911077
Sleigh Bells,267521
Tennis Music,43083
Björk,3143466
Wet,42712
Diet Cig,9517
LOLAWOLF,26558
Daniel Woolhouse / Deptford Goth,28513
TOPS,18317
Portishead,866435
Motion Studies,281
4AD,145977
Panda Bear,152320
Deradoorian,7465
Majid Jordan,85452
Portugal. The Man,381967
Solange,1132690
Phantogram,389408
Tep No,13101
Evy Jane,3687
Miike Snow,416884
SAM SMITH,5591904
Yeah Yeah Yeahs,2237648
Sky Ferreira,543708
ITALIANS DO IT BETTER,43964
Samantha Urbani,3224
Kendrick Lamar,7956406
Small Black,35605
You'll Never Get to Heaven,1763
Hiatus Kaiyote,109720
Daniel Rossen,10732
Cults,218785
The Knife,3334
brown bird,29343
Neon Indian,267906
Ingrid Michaelson,849495
Tame Impala,1228035
Cascine,7622
tune-yards,145376
Blood Orange,150787
Miguel,2105470
Adult Jazz,16392
The Bowery Ballroom,28817
True Panther Sounds,8514
CHROMATICS,143807
Julia Holter,54669
Caribou,496426
Chet Faker,862805
Mssingno,8398
Burial,195126
Jhené Aiko,1571209
Courtship Ritual,703
Dilly Dally,9149
Foals,1005125
Empress Of,19329
Baby's All Right,17748
TONSTARTSSBANDHT,9540
SBTRKT,518341
Warp Records,337618
Cities Aviv,10907
Department of Eagles,11687
Liz Vice,6149
Hyperdub Records,91418
Hundred Waters,53374
Real Estate,163558
James Blake,792985
Gazelle Twin,14515
Ta-ku,253127
Grizzly Bear,683703
Crystal Castles,1492317
TORRES,17422
Matador Records,120839
Boy & Bear,198624
Lana Del Rey,11978606
John Talabot,105876
Little Simz,35453
Hinds,51657
mura masa,53485
Tobias Jesso Jr.,34388
Sylvan Esso,82403
Dirty Projectors,128736
Casey Mecija,59
Shamir,39866
Vampire Weekend,2252916
Hozier,1383364
Flume,1012206
RATATAT,694241
Terrible Records,6615
Mexican Summer,26250
St. Vincent,450777
Allie X,22690
Amy Winehouse,10921655
Ra Ra Riot,159580
Shlohmo,208821
Spoon,402957
Blackbird Blackbird,73406
Basia Bulat,25454
Mr Little Jeans,48783
Lightspeed Champion,13160
Bonobo,816158
Polica,100954
Mystery Skulls,34309
Doldrums,17802
XL Recordings,90846
Glass Animals,196366
Other People,34598
Daughter,826149
U.S. Girls,13811
Elvis Depressedly,23076
Kavinsky,456164
Cold War Kids,433176
Florence + The Machine,5702925
Purity Ring,378354
The xx,3738924
Prince Innocence,3955
Pure Bathing Culture,11536
Disclosure,1763564
Regina Spektor,1688139
Moses Sumney,16577
ASAP Rocky,5751520
Porches,26092
Major Lazer,2432538
Ben Khan,40235
How To Dress Well,65753
95.5 WBRU,26385
ZEBRA KATZ,59334
Owen Pallett,34798
Ibeyi,117333
Sub Pop,4450
Agnes Obel,274076
Pional Musiq,20420
Aquarium Drunkard,29267
Humans,6925
Cut Copy,399154
SALES,10422
Liturgy,17005
MARINA AND THE DIAMONDS,1296413
Kesha,31096434
Lower Dens,38559
The Galleria,557
Denai Moore,12117
SoKo,310534
Bat For Lashes,365505
SOPHIE MSMSMSM,27834
Lotic,8837
Phoenix,1973582
Charli XCX,2749604
FKA twigs,361296
Yo La Tengo,147673
Jessy Lanza,25680
GLASS CANDY,47940
Hot Chip,588118
Vulfpeck,46575
Kindness,38856
Calvin Love,5133
Egyptrixx,195
The Brown Folk Festival,742
Unknown Mortal Orchestra,162744
Beach House,578169
Rhye,161451
Adult Mom,6343
Kelela,67928
Nicolas Jaar,553266
Young Turks,95323
Sampha,110929
Austra,114778
The Range,7648
METRONOMY,594604
Ghost Cape,116
Todd Terje,201293
Grimes,883669
Perfume Genius,82772
SG Lewis,16523
Berghain Music,174133
Mac DeMarco,356239
Class Actress,27579
The Antlers,158282
Arbutus Records,8900
GODMODE,2020
Imogen Heap,785319
Jack Garratt,101269
ABRA,11430
Yumi Zouma,17290
Oh Land,306787
PLVS VLTRA,552
